Paper_Name,Year,Citation_Number,Type
Learning Cross-Modal Embeddings for Cooking Recipes and Food Images,2017,533,Poster
"Zero-Shot Learning - The Good, the Bad and the Ugly",2017,810,Poster
DeepNav: Learning to Navigate Large Cities,2017,59,Poster
Scene Graph Generation by Iterative Message Passing,2017,1062,Poster
Visual Translation Embedding Network for Visual Relation Detection,2017,553,Poster
Unsupervised Part Learning for Visual Recognition,2017,23,Poster
Comprehension-Guided Referring Expressions,2017,158,Poster
Top-Down Visual Saliency Guided by Captions,2017,158,Poster
Grassmannian Manifold Optimization Assisted Sparse Spectral Clustering,2017,29,Poster
Video Propagation Networks,2017,245,Poster
ActionVLAD: Learning Spatio-Temporal Aggregation for Action Classification,2017,504,Poster
SCC: Semantic Context Cascade for Efficient Action Detection,2017,105,Poster
Hierarchical Boundary-Aware Neural Encoder for Video Captioning,2017,212,Poster
HOPE: Hierarchical Object Prototype Encoding for Efficient Object Instance Search in Videos,2017,14,Poster
Spatio-Temporal Vector of Locally Max Pooled Features for Action Recognition in Videos,2017,75,Poster
Temporal Action Localization by Structured Maximal Sums,2017,159,Poster
Predicting Salient Face in Multiple-Face Videos,2017,37,Poster
Graph-Structured Representations for Visual Question Answering,2017,402,Spotlight
Knowing When to Look: Adaptive Attention via a Visual Sentinel for Image Captioning,2017,1511,Spotlight
Learned Contextual Feature Reweighting for Image Geo-Localization,2017,178,Spotlight
"End-to-End Concept Word Detection for Video Captioning, Retrieval, and Question Answering",2017,229,Spotlight
Deep Cross-Modal Hashing,2017,672,Spotlight
Unambiguous Text Localization and Retrieval for Cluttered Scenes,2017,34,Spotlight
Bayesian Supervised Hashing,2017,14,Spotlight
Speed/Accuracy Trade-Offs for Modern Convolutional Object Detectors,2017,3065,Spotlight
Detecting Visual Relationships with Deep Relational Networks,2017,519,Oral
Full-Resolution Residual Networks for Semantic Segmentation in Street Scenes,2017,620,Oral
Network Dissection: Quantifying Interpretability of Deep Visual Representations,2017,1349,Oral
AGA: Attribute-Guided Augmentation,2017,131,Oral
A Hierarchical Approach for Generating Descriptive Image Paragraphs,2017,347,Spotlight
Person Re-identification in the Wild,2017,721,Spotlight
Scalable Person Re-identification on Supervised Smoothed Manifold,2017,361,Spotlight
Binge Watching: Scaling Affordance Learning from Sitcoms,2017,68,Spotlight
Joint Detection and Identification Feature Learning for Person Search,2017,852,Spotlight
Synthesizing Normalized Faces from Facial Identity Features,2017,149,Spotlight
Consistent-Aware Deep Learning for Person Re-identification in a Camera Network,2017,144,Spotlight
Level Playing Field for Million Scale Face Recognition,2017,203,Spotlight
Re-Sign: Re-Aligned End-to-End Sequence Modelling with Deep Recurrent CNN-HMMs,2017,214,Oral
Social Scene Understanding: End-to-End Multi-person Action Localization and Collective Activity Recognition,2017,231,Oral
Detangling People: Individuating Multiple Close People and Their Body Parts via Region Assembly,2017,10,Oral
Lip Reading Sentences in the Wild,2017,767,Oral
Deep Matching Prior Network: Toward Tighter Multi-oriented Text Detection,2017,356,Spotlight
ChestX-Ray8: Hospital-Scale Chest X-Ray Database and Benchmarks on Weakly-Supervised Classification and Localization of Common Thorax Diseases,2017,3380,Spotlight
Attentional Push: A Deep Convolutional Network for Augmenting Image Salience with Shared Attention Modeling in Social Scenes,2017,28,Spotlight
Detecting Oriented Text in Natural Images by Linking Segments,2017,718,Spotlight
Learning Video Object Segmentation from Static Images,2017,512,Spotlight
Seeing Invisible Poses: Estimating 3D Body Pose from Egocentric Video,2017,81,Spotlight
Plug &amp; Play Generative Networks: Conditional Iterative Generation of Images in Latent Space,2017,940,Spotlight
A Joint Speaker-Listener-Reinforcer Model for Referring Expressions,2017,257,Spotlight
End-to-End Learning of Driving Models from Large-Scale Video Datasets,2017,875,Oral
Deep Future Gaze: Gaze Anticipation on Egocentric Videos Using Adversarial Networks,2017,105,Oral
MDNet: A Semantically and Visually Interpretable Medical Image Diagnosis Network,2017,326,Oral
Surface Motion Capture Transfer with Gaussian Process Regression,2017,14,Poster
Visual-Inertial-Semantic Scene Representation for 3D Object Detection,2017,55,Poster
Template-Based Monocular 3D Recovery of Elastic Shapes Using Lagrangian Multipliers,2017,8,Poster
Learning Category-Specific 3D Shape Models from Weakly Labeled 2D Images,2017,23,Poster
Simultaneous Geometric and Radiometric Calibration of a Projector-Camera Pair,2017,18,Poster
A Clever Elimination Strategy for Efficient Minimal Solvers,2017,43,Poster
Learning Barycentric Representations of 3D Shapes for Sketch-Based 3D Shape Retrieval,2017,66,Poster
Geodesic Distance Descriptors,2017,35,Poster
Modeling Temporal Dynamics and Spatial Configurations of Actions Using Two-Stream Recurrent Neural Networks,2017,395,Poster
Forecasting Human Dynamics from Static Images,2017,121,Poster
Re-ranking Person Re-identification with k-Reciprocal Encoding,2017,1540,Poster
Deep Sequential Context Networks for Action Prediction,2017,156,Poster
Global Context-Aware Attention LSTM Networks for 3D Action Recognition,2017,637,Poster
Dynamic Attention-Controlled Cascaded Shape Regression Exploiting Training Data Augmentation and Fuzzy-Set Sample Weighting,2017,109,Poster
A Deep Regression Architecture with Two-Stage Re-initialization for High Performance Facial Landmark Detection,2017,261,Poster
Multiple People Tracking by Lifted Multicut and Person Re-identification,2017,573,Poster
Towards Accurate Multi-person Pose Estimation in the Wild,2017,883,Poster
Towards a Quality Metric for Dense Light Fields,2017,113,Poster
Controlling Perceptual Factors in Neural Style Transfer,2017,456,Poster
Joint Sequence Learning and Cross-Modality Convolution for 3D Biomedical Segmentation,2017,185,Poster
LSTM Self-Supervision for Detailed Behavior Analysis,2017,57,Poster
A Wide-Field-of-View Monocentric Light Field Camera,2017,46,Poster
S2F: Slow-to-Fast Interpolator Flow,2017,27,Poster
CLKN: Cascaded Lucas-Kanade Networks for Image Alignment,2017,100,Poster
Multi-object Tracking with Quadruplet Convolutional Neural Networks,2017,280,Poster
Learning to Detect Salient Objects with Image-Level Supervision,2017,947,Poster
From Motion Blur to Motion Flow: A Deep Learning Solution for Removing Heterogeneous Motion Blur,2017,374,Poster
Co-occurrence Filter,2017,49,Poster
Fractal Dimension Invariant Filtering and Its CNN-Based Implementation,2017,23,Poster
Noise-Blind Image Deblurring,2017,45,Poster
Simultaneous Visual Data Completion and Denoising Based on Tensor Rank and Total Variation Minimization and Its Primal-Dual Splitting Algorithm,2017,50,Poster
HPatches: A Benchmark and Evaluation of Handcrafted and Learned Local Descriptors,2017,637,Poster
Hyperspectral Image Super-Resolution via Non-local Sparse Tensor Factorization,2017,229,Poster
Reflection Removal Using Low-Rank Matrix Completion,2017,69,Poster
Object Co-skeletonization with Co-segmentation,2017,51,Poster
Mining Object Parts from CNNs via Active Question-Answering,2017,29,Poster
PolyNet: A Pursuit of Structural Diversity in Very Deep Networks,2017,277,Poster
The VQA-Machine: Learning How to Use Existing Vision Algorithms to Answer New Questions,2017,97,Poster
Joint Discriminative Bayesian Dictionary and Classifier Learning,2017,36,Poster
Quad-Networks: Unsupervised Learning to Rank for Interest Point Detection,2017,176,Poster
Outlier-Robust Tensor PCA,2017,95,Poster
Learning Adaptive Receptive Fields for Deep Image Parsing Network,2017,61,Poster
Learning an Invariant Hilbert Space for Domain Adaptation,2017,122,Poster
Fixed-Point Factorized Networks,2017,49,Poster
Discriminative Optimization: Theory and Applications to Point Cloud Registration,2017,33,Poster
Online Asymmetric Similarity Learning for Cross-Modal Retrieval,2017,39,Poster
Improving Training of Deep Neural Networks via Singular Value Bounding,2017,89,Poster
S3Pool: Pooling with Stochastic Spatial Sampling,2017,81,Poster
Sports Field Localization via Deep Structured Models,2017,110,Poster
Noisy Softmax: Improving the Generalization Ability of DCNN via Postponing the Early Softmax Saturation,2017,139,Poster
Switching Convolutional Neural Network for Crowd Counting,2017,958,Poster
Network Sketching: Exploiting Binary Structure in Deep CNNs,2017,117,Poster
Multi-task Clustering of Human Actions by Sharing Information,2017,31,Poster
Soft-Margin Mixture of Regressions,2017,26,Poster
Multigrid Neural Architectures,2017,83,Poster
High-Resolution Image Inpainting Using Multi-scale Neural Patch Synthesis,2017,888,Poster
Deep Quantization: Encoding Convolutional Activations with Deep Generative Model,2017,77,Poster
DOPE: Distributed Optimization for Pairwise Energies,2017,3,Poster
Improved Texture Networks: Maximizing Quality and Diversity in Feed-Forward Stylization and Texture Synthesis,2017,762,Poster
Polyhedral Conic Classifiers for Visual Object Detection and Classification,2017,35,Poster
Incremental Kernel Null Space Discriminant Analysis for Novelty Detection,2017,56,Poster
Predicting Ground-Level Scene Layout from Aerial Imagery,2017,166,Poster
Deep Feature Flow for Video Recognition,2017,641,Poster
Object-Aware Dense Semantic Correspondence,2017,46,Poster
Semantic Regularisation for Recurrent Image Annotation,2017,113,Poster
Video2Shop: Exact Matching Clothes in Videos to Online Shopping Images,2017,67,Poster
Fast-At: Fast Automatic Thumbnail Generation Using Deep Neural Networks,2017,45,Poster
Multi-level Attention Networks for Visual Question Answering,2017,238,Poster
Generating Descriptions with Grounded and Co-referenced People,2017,69,Poster
Straight to Shapes: Real-Time Detection of Encoded Shapes,2017,51,Poster
Simultaneous Feature Aggregating and Hashing for Large-Scale Image Search,2017,41,Poster
Improving Facial Attribute Prediction Using Semantic Segmentation,2017,87,Poster
Learning Cross-Modal Deep Representations for Robust Pedestrian Detection,2017,205,Poster
Spatio-Temporal Self-Organizing Map Deep Network for Dynamic Object Detection from Videos,2017,14,Poster
CERN: Confidence-Energy Recurrent Network for Group Activity Recognition,2017,162,Poster
Understanding Traffic Density from Large-Scale Web Camera Data,2017,149,Poster
Collaborative Summarization of Topic-Related Videos,2017,80,Poster
Local Binary Convolutional Neural Networks,2017,274,Spotlight
Deep Self-Taught Learning for Weakly Supervised Object Localization,2017,219,Spotlight
Multi-modal Mean-Fields via Cardinality-Based Clamping,2017,5,Spotlight
Probabilistic Temporal Subspace Clustering,2017,16,Spotlight
Provable Self-Representation Based Outlier Detection in a Union of Subspaces,2017,115,Spotlight
Latent Multi-view Subspace Clustering,2017,420,Spotlight
Learning to Extract Semantic Structure from Documents Using Multimodal Fully Convolutional Neural Networks,2017,232,Spotlight
Age Progression/Regression by Conditional Adversarial Autoencoder,2017,957,Spotlight
Compact Matrix Factorization with Dependent Subspaces,2017,10,Oral
FFTLasso: Large-Scale LASSO in the Fourier Domain,2017,8,Oral
On the Global Geometry of Sphere-Constrained Sparse Blind Deconvolution,2017,71,Oral
Global Optimality in Neural Network Training,2017,146,Oral
What is and What is Not a Salient Object? Learning Salient Object Detector by Ensembling Linear Exemplar Regressors,2017,83,Spotlight
Deep Variation-Structured Reinforcement Learning for Visual Relationship and Attribute Detection,2017,285,Spotlight
Modeling Relationships in Referential Expressions with Compositional Modular Networks,2017,344,Spotlight
Counting Everyday Objects in Everyday Scenes,2017,142,Spotlight
Fully Convolutional Instance-Aware Semantic Segmentation,2017,1194,Spotlight
Semantic Autoencoder for Zero-Shot Learning,2017,901,Spotlight
CityPersons: A Diverse Dataset for Pedestrian Detection,2017,778,Spotlight
GuessWhat?! Visual Object Discovery through Multi-modal Dialogue,2017,398,Spotlight
Look Closer to See Better: Recurrent Attention Convolutional Neural Network for Fine-Grained Image Recognition,2017,1252,Oral
Annotating Object Instances with a Polygon-RNN,2017,317,Oral
Connecting Look and Feel: Associating the Visual and Tactile Properties of Physical Materials,2017,103,Oral
Deep Learning Human Mind for Automated Visual Classification,2017,205,Oral
Self-Calibration-Based Approach to Critical Motion Sequences of Rolling-Shutter Structure from Motion,2017,27,Poster
Semi-Calibrated Near Field Photometric Stereo,2017,43,Poster
Semantic Multi-view Stereo: Jointly Estimating Objects and Voxels,2017,38,Poster
Learning to Predict Stereo Reliability Enforcing Local Consistency of Confidence Maps,2017,56,Poster
The Misty Three Point Algorithm for Relative Pose,2017,8,Poster
The Surfacing of Multiview 3D Drawings via Lofting and Occlusion Reasoning,2017,10,Poster
A New Representation of Skeleton Sequences for 3D Action Recognition,2017,824,Poster
A General Framework for Curve and Surface Comparison and Registration with Oriented Varifolds,2017,47,Poster
Learning to Align Semantic Segmentation and 2.5D Maps for Geolocalization,2017,36,Poster
A Generative Model for Depth-Based Robust 3D Facial Pose Tracking,2017,16,Poster
Fast 3D Reconstruction of Faces with Glasses,2017,9,Poster
An Efficient Algebraic Solution to the Perspective-Three-Point Problem,2017,117,Poster
Learning from Synthetic Humans,2017,912,Poster
Forecasting Interactive Dynamics of Pedestrians with Fictitious Play,2017,178,Poster
Hand Keypoint Detection in Single Images Using Multiview Bootstrapping,2017,1215,Poster
PoseTrack: Joint Multi-person Pose Estimation and Tracking,2017,235,Poster
Expecting the Unexpected: Training Detectors for Unusual Pedestrians with Adversarial Imposters,2017,58,Poster
On Human Motion Prediction Using Recurrent Neural Networks,2017,828,Poster
Learning and Refining of Privileged Information-Based RNNs for Action Recognition from Depth Sequences,2017,95,Poster
Quality Aware Network for Set to Set Recognition,2017,354,Poster
Unite the People: Closing the Loop Between 3D and 2D Human Representations,2017,497,Poster
Deep Multitask Architecture for Integrated 2D and 3D Human Sensing,2017,167,Poster
"Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset",2017,6831,Poster
Identifying First-Person Camera Wearers in Third-Person Videos,2017,57,Poster
Learning to Rank Retargeted Images,2017,15,Poster
Parsing Images of Overlapping Organisms with Deep Singling-Out Networks,2017,14,Poster
Fine-Tuning Convolutional Neural Networks for Biomedical Image Analysis: Actively and Incrementally,2017,417,Poster
Depth from Defocus in the Wild,2017,47,Poster
Matting and Depth Recovery of Thin Structures Using a Focal Stack,2017,4,Poster
Robust Interpolation of Correspondences for Large Displacement Optical Flow,2017,80,Poster
Large Margin Object Tracking with Circulant Feature Maps,2017,680,Poster
Minimum Delay Moving Object Detection,2017,18,Poster
Multi-task Correlation Particle Filter for Robust Object Tracking,2017,459,Poster
Attentional Correlation Filter Network for Adaptive Visual Tracking,2017,363,Poster
The World of Fast Moving Objects,2017,38,Poster
Discriminative Correlation Filter with Channel and Spatial Reliability,2017,1293,Poster
Learning Deep Binary Descriptor with Multi-quantization,2017,120,Poster
One-To-Many Network for Visually Pleasing Compression Artifacts Reduction,2017,96,Poster
Gated Feedback Refinement Network for Dense Image Labeling,2017,227,Poster
BRISKS: Binary Features for Spherical Images on a Geodesic Grid,2017,35,Poster
Superpixels and Polygons Using Simple Non-iterative Clustering,2017,363,Poster
Hardware-Efficient Guided Image Filtering for Multi-label Problem,2017,8,Poster
Alternating Direction Graph Matching,2017,39,Poster
Learning Discriminative and Transformation Covariant Local Feature Detectors,2017,120,Poster
Correlational Gaussian Processes for Cross-Domain Visual Recognition,2017,25,Poster
DeLiGAN: Generative Adversarial Networks for Diverse and Limited Data,2017,280,Poster
A Dual Ascent Framework for Lagrangean Decomposition of Combinatorial Problems,2017,30,Poster
Oriented Response Networks,2017,272,Poster
Missing Modalities Imputation via Cascaded Residual Autoencoder,2017,136,Poster
Efficient Optimization for Hierarchically-Structured Interacting Segments (HINTS),2017,12,Poster
A Message Passing Algorithm for the Minimum Cost Multicut Problem,2017,34,Poster
End-to-End Representation Learning for Correlation Filter Based Tracking,2017,1646,Poster
Filter Flow Made Practical: Massively Parallel and Lock-Free,2017,6,Poster
Online Graph Completion: Multivariate Signal Recovery in Computer Vision,2017,7,Poster
Point to Set Similarity Based Deep Feature Learning for Person Re-Identification,2017,176,Poster
Exploiting Saliency for Object Segmentation from Image Level Labels,2017,226,Poster
Consensus Maximization with Linear Matrix Inequality Constraints,2017,35,Poster
Physically-Based Rendering for Indoor Scene Understanding Using Convolutional Neural Networks,2017,279,Poster
Deep Multimodal Representation Learning from Temporal Data,2017,111,Poster
All You Need is Beyond a Good Init: Exploring Better Solution for Training Extremely Deep Convolutional Neural Networks with Orthonormality and Modulation,2017,172,Poster
Hard Mixtures of Experts for Large Scale Weakly Supervised Vision,2017,71,Poster
A Reinforcement Learning Approach to the View Planning Problem,2017,49,Poster
Zero-Shot Classification with Discriminative Semantic Representation Learning,2017,147,Poster
"Automatic Discovery, Association Estimation and Learning of Semantic Attributes for a Thousand Categories",2017,29,Poster
Scene Parsing through ADE20K Dataset,2017,2231,Poster
Weakly Supervised Cascaded Convolutional Networks,2017,309,Poster
Discretely Coding Semantic Rank Orders for Supervised Image Hashing,2017,56,Poster
Joint Geometrical and Statistical Alignment for Visual Domain Adaptation,2017,523,Poster
Weakly Supervised Dense Video Captioning,2017,142,Poster
RefineNet: Multi-path Refinement Networks for High-Resolution Semantic Segmentation,2017,3121,Poster
"Semantic Segmentation via Structured Patch Prediction, Context CRF and Guidance CRF",2017,74,Poster
Person Search with Natural Language Description,2017,304,Poster
Weakly Supervised Affordance Detection,2017,75,Poster
Zero-Shot Recognition Using Dual Visual-Semantic Mapping Paths,2017,166,Poster
Neural Aggregation Network for Video Face Recognition,2017,421,Poster
Relationship Proposal Networks,2017,112,Poster
Learning Object Interactions and Descriptions for Semantic Image Segmentation,2017,57,Poster
RON: Reverse Connection with Objectness Prior Networks for Object Detection,2017,463,Poster
Weakly-Supervised Visual Grounding of Phrases with Linguistic Structures,2017,124,Poster
Incorporating Copying Mechanism in Image Captioning for Learning Novel Objects,2017,158,Poster
Beyond Instance-Level Image Retrieval: Leveraging Captions to Learn a Global Visual Representation for Semantic Retrieval,2017,93,Poster
MuCaLe-Net: Multi Categorical-Level Networks to Generate More Discriminating Features,2017,21,Poster
Zero Shot Learning via Multi-scale Manifold Regularization,2017,41,Poster
Deeply Supervised Salient Object Detection with Short Connections,2017,1497,Poster
A Matrix Splitting Method for Composite Function Minimization,2017,3,Poster
One-Shot Video Object Segmentation,2017,941,Poster
Fast Person Re-identification via Cross-Camera Semantic Binary Transformation,2017,85,Poster
SPFTN: A Self-Paced Fine-Tuning Network for Segmenting Objects in Weakly Labelled Videos,2017,53,Poster
Hidden Layers in Perceptual Learning,2017,6,Spotlight
Few-Shot Object Recognition from Machine-Labeled Web Images,2017,63,Spotlight
Hallucinating Very Low-Resolution Unaligned and Noisy Face Images by Transformative Discriminative Autoencoders,2017,156,Spotlight
Are You Smarter Than a Sixth Grader? Textbook Question Answering for Multimodal Machine Comprehension,2017,207,Spotlight
Deep Hashing Network for Unsupervised Domain Adaptation,2017,1516,Spotlight
Generalized Deep Image to Image Regression,2017,82,Spotlight
Deep Learning with Low Precision by Half-Wave Gaussian Quantization,2017,506,Spotlight
Creativity: Generating Diverse Questions Using Variational Autoencoders,2017,157,Spotlight
Geometric Deep Learning on Graphs and Manifolds Using Mixture Model CNNs,2017,1856,Oral
Full Resolution Image Compression with Recurrent Neural Networks,2017,850,Oral
Neural Face Editing with Intrinsic Image Disentangling,2017,289,Oral
"UberNet: Training a Universal Convolutional Neural Network for Low-, Mid-, and High-Level Vision Using Diverse Datasets and Limited Memory",2017,676,Oral
"3D Face Morphable Models In-the-Wild""""",2017,198,Spotlight
KillingFusion: Non-rigid 3D Reconstruction without Correspondences,2017,163,Spotlight
"Detailed, Accurate, Human Shape Estimation from Clothed 3D Scan Sequences",2017,253,Spotlight
POSEidon: Face-from-Depth for Driver Pose Estimation,2017,171,Spotlight
Human Shape from Silhouettes Using Generative HKS Descriptors and Cross-Modal Neural Networks,2017,94,Spotlight
Parametric T-Spline Face Morphable Model for Detailed Fitting in Shape Subspace,2017,12,Spotlight
3D Menagerie: Modeling the 3D Shape and Pose of Animals,2017,286,Spotlight
iCaRL: Incremental Classifier and Representation Learning,2017,2518,Spotlight
Recurrent 3D Pose Sequence Machines,2017,123,Oral
Learning Detailed Face Reconstruction from a Single Image,2017,345,Oral
Thin-Slicing Network: A Deep Structured Model for Pose Estimation in Videos,2017,121,Oral
Dynamic FAUST: Registering Human Bodies in Motion,2017,321,Oral
Semantically Coherent Co-Segmentation and Reconstruction of Dynamic Scenes,2017,48,Poster
On the Two-View Geometry of Unsynchronized Cameras,2017,33,Poster
Using Locally Corresponding CAD Models for Dense 3D Reconstructions from a Single Image,2017,63,Poster
Convex Global 3D Registration with Lagrangian Duality,2017,81,Poster
DeMoN: Depth and Motion Network for Learning Monocular Stereo,2017,713,Poster
3D Bounding Box Estimation Using Deep Learning and Geometry,2017,992,Poster
A Dataset for Benchmarking Image-Based Localization,2017,51,Poster
Asynchronous Temporal Fields for Action Recognition,2017,183,Poster
Sequential Person Recognition in Photo Albums with a Recurrent Network,2017,31,Poster
Multi-context Attention for Human Pose Estimation,2017,754,Poster
3D Convolutional Neural Networks for Efficient and Robust Hand Pose Estimation from Single Depth Images,2017,297,Poster
Lifting from the Deep: Convolutional 3D Pose Estimation from a Single Image,2017,554,Poster
AdaScan: Adaptive Scan Pooling in Deep Convolutional Neural Networks for Human Action Recognition in Videos,2017,173,Poster
Deep Structured Learning for Facial Action Unit Intensity Estimation,2017,132,Poster
"Simultaneous Facial Landmark Detection, Pose and Deformation Estimation Under Facial Occlusion",2017,94,Poster
Self-Supervised Video Representation Learning with Odd-One-Out Networks,2017,465,Poster
Robust Joint and Individual Variance Explained,2017,21,Poster
Discriminative Covariance Oriented Representation Learning for Face Recognition with Image Sets,2017,46,Poster
3D Human Pose Estimation = 2D Pose Estimation + Matching,2017,640,Poster
Joint Gap Detection and Inpainting of Line Drawings,2017,41,Poster
Riemannian Nonlinear Mixed Effects Models: Analyzing Longitudinal Deformations in Neuroimaging,2017,28,Poster
Simultaneous Super-Resolution and Cross-Modality Synthesis of 3D Medical Images Using Weakly-Supervised Joint Convolutional Sparse Coding,2017,183,Poster
Multiple-Scattering Microphysics Tomography,2017,57,Poster
Accurate Optical Flow via Direct Cost Volume Processing,2017,223,Poster
Event-Based Visual Inertial Odometry,2017,200,Poster
Robust Visual Tracking Using Oblique Random Forests,2017,95,Poster
Deep Laplacian Pyramid Networks for Fast and Accurate Super-Resolution,2017,2446,Poster
Learning Non-Lambertian Object Intrinsics Across ShapeNet Categories,2017,166,Poster
MCMLSD: A Dynamic Programming Approach to Line Segment Detection,2017,71,Poster
Contour-Constrained Superpixels for Image and Video Processing,2017,19,Poster
Richer Convolutional Features for Edge Detection,2017,997,Poster
Non-local Color Image Denoising with Convolutional Neural Networks,2017,358,Poster
Generative Face Completion,2017,689,Poster
Hyper-Laplacian Regularized Unidirectional Low-Rank Tensor Recovery for Multispectral Image Denoising,2017,145,Poster
Unsupervised Semantic Scene Labeling for Streaming Data,2017,8,Poster
Why You Should Forget Luminance Conversion and Do Something Better,2017,20,Poster
Deep Semantic Feature Matching,2017,79,Poster
Revisiting the Variable Projection Method for Separable Nonlinear Least Squares Problems,2017,31,Poster
Efficient Multiple Instance Metric Learning Using Weakly Supervised Data,2017,14,Poster
"WILDCAT: Weakly Supervised Learning of Deep ConvNets for Image Classification, Pointwise Localization and Segmentation",2017,364,Poster
Image-to-Image Translation with Conditional Adversarial Networks,2017,18711,Poster
Deep Roots: Improving CNN Efficiency with Hierarchical Filter Groups,2017,265,Poster
Aggregated Residual Transformations for Deep Neural Networks,2017,10039,Poster
MIML-FCN+: Multi-Instance Multi-Label Learning via Fully Convolutional Networks with Privileged Information,2017,62,Poster
Low-Rank Embedded Ensemble Semantic Dictionary for Zero-Shot Learning,2017,124,Poster
Factorized Variational Autoencoders for Modeling Audience Reactions to Movies,2017,54,Poster
Learning Features by Watching Objects Move,2017,552,Poster
What Can Help Pedestrian Detection,2017,331,Poster
DeepPermNet: Visual Permutation Learning,2017,100,Poster
Learning the Multilinear Structure of Visual Data,2017,23,Poster
Adaptive and Move Making Auxiliary Cuts for Binary Pairwise Energies,2017,1,Poster
Designing Energy-Efficient Convolutional Neural Networks Using Energy-Aware Pruning,2017,835,Poster
Joint Multi-person Pose Estimation and Semantic Part Segmentation,2017,226,Poster
Deep Feature Interpolation for Image Content Changes,2017,299,Poster
FASON: First and Second Order Information Fusion Network for Texture Recognition,2017,77,Poster
Lean Crowdsourcing: Combining Humans and Machines in an Online System,2017,46,Poster
Supervising Neural Attention Models for Video Captioning by Human Gaze Data,2017,75,Poster
L2-Net: Deep Learning of Discriminative Patch Descriptor in Euclidean Space,2017,512,Poster
Convolutional Random Walk Networks for Semantic Image Segmentation,2017,144,Poster
Knowledge Acquisition for Visual Question Answering via Iterative Querying,2017,49,Poster
Memory-Augmented Attribute Manipulation Networks for Interactive Fashion Search,2017,143,Poster
From Zero-Shot Learning to Conventional Supervised Classification: Unseen Visual Data Synthesis,2017,161,Poster
Are Large-Scale 3D Models Really Necessary for Accurate Visual Localization,2017,233,Poster
Asymmetric Feature Maps with Application to Sketch Based Retrieval,2017,36,Poster
Diverse Image Annotation,2017,34,Poster
AMC: Attention Guided Multi-modal Correlation Learning for Image Search,2017,41,Poster
Multi-attention Network for One Shot Learning,2017,100,Poster
Fried Binary Embedding for High-Dimensional Visual Features,2017,33,Poster
Pyramid Scene Parsing Network,2017,11057,Poster
Learning Deep Match Kernels for Image-Set Classification,2017,38,Poster
Task-Driven Dynamic Fusion: Reducing Ambiguity in Video Description,2017,72,Poster
Learning Multifunctional Binary Codes for Both Category and Attribute Oriented Retrieval Tasks,2017,37,Poster
"Indoor Scene Parsing with Instance Segmentation, Semantic Labeling and Support Relationship Inference",2017,32,Poster
Episodic CAMN: Contextual Attention-Based Memory Networks with Iterative Feedback for Scene Labeling,2017,15,Poster
"Link the Head to the Beak"": Zero Shot Learning from Noisy Text Description at Part Precision""",2017,135,Poster
SCA-CNN: Spatial and Channel-Wise Attention in Convolutional Networks for Image Captioning,2017,1788,Poster
Deep Pyramidal Residual Networks,2017,676,Poster
Product Split Trees,2017,9,Poster
Making the V in VQA Matter: Elevating the Role of Image Understanding in Visual Question Answering,2017,1936,Poster
Commonly Uncommon: Semantic Sparsity in Situation Recognition,2017,37,Poster
Cross-Modality Binary Code Learning via Fusion Similarity Hashing,2017,183,Poster
Saliency Revisited: Analysis of Mouse Movements Versus Fixations,2017,38,Poster
"InterpoNet, a Brain Inspired Neural Network for Optical Flow Dense Interpolation",2017,61,Poster
SST: Single-Stream Temporal Action Proposals,2017,450,Poster
Video Segmentation via Multiple Granularity Analysis,2017,14,Poster
UntrimmedNets for Weakly Supervised Action Recognition and Detection,2017,519,Poster
Gaze Embeddings for Zero-Shot Image Classification,2017,131,Spotlight
What's in a Question: Using Visual Questions as a Form of Supervision,2017,19,Spotlight
Attend to You: Personalized Image Captioning with Context Sequence Memory Networks,2017,178,Spotlight
Adversarially Tuned Scene Generation,2017,27,Spotlight
Residual Attention Network for Image Classification,2017,3605,Spotlight
Not All Pixels Are Equal: Difficulty-Aware Semantic Segmentation via Deep Layer Cascade,2017,284,Spotlight
Learning Non-maximum Suppression,2017,573,Spotlight
The Amazing Mysteries of the Gutter: Drawing Inferences Between Panels in Comic Book Narratives,2017,88,Spotlight
Object Region Mining with Adversarial Erasing: A Simple Classification to Semantic Segmentation Approach,2017,777,Oral
Fine-Grained Recognition as HSnet Search for Informative Image Parts,2017,123,Oral
G2DeNet: Global Gaussian Distribution Embedding Network and Its Application to Visual Recognition,2017,116,Oral
"YOLO9000: Better, Faster, Stronger",2017,17370,Oral
Multi-view 3D Object Detection Network for Autonomous Driving,2017,2668,Spotlight
UltraStereo: Efficient Learning-Based Matching for Active Stereo Systems,2017,71,Spotlight
Shape Completion Using 3D-Encoder-Predictor CNNs and Shape Synthesis,2017,576,Spotlight
Geometric Loss Functions for Camera Pose Regression with Deep Learning,2017,742,Spotlight
CNN-SLAM: Real-Time Dense Monocular SLAM with Learned Depth Prediction,2017,752,Spotlight
Learning from Noisy Large-Scale Datasets with Minimal Supervision,2017,474,Spotlight
SyncSpecCNN: Synchronized Spectral CNN for 3D Shape Segmentation,2017,484,Spotlight
Non-local Deep Features for Salient Object Detection,2017,610,Spotlight
Unsupervised Monocular Depth Estimation with Left-Right Consistency,2017,2848,Oral
Unsupervised Learning of Depth and Ego-Motion from Video,2017,2401,Oral
OctNet: Learning Deep 3D Representations at High Resolutions,2017,1493,Oral
