Paper_Name,Year,Citation_Number,Type
Informed Haar-Like Features Improve Pedestrian Detection,2014,392,Poster
Image Reconstruction from Bag-of-Visual-Words,2014,90,Poster
Beta Process Multiple Kernel Learning,2014,11,Poster
Random Laplace Feature Maps for Semigroup Kernels on Histograms,2014,59,Poster
Hash-SVM: Scalable Kernel Machines for Large-Scale Visual Classification,2014,59,Poster
Transitive Distance Clustering with K-Means Duality,2014,10,Poster
Simultaneous Twin Kernel Learning Using Polynomial Transformations for Structured Prediction,2014,3,Poster
Bregman Divergences for Infinite Dimensional Covariance Matrices,2014,126,Poster
Optimizing Average Precision Using Weakly Supervised Data,2014,27,Poster
Subspace Clustering for Sequential Data,2014,123,Poster
Predicting Multiple Attributes via Relative Multi-task Learning,2014,60,Poster
Learning Inhomogeneous FRAME Models for Object Patterns,2014,4,Poster
Empirical Minimum Bayes Risk Prediction: How to Extract an Extra Few % Performance from Vision Models with Just Three More Parameters,2014,35,Poster
Fantope Regularization in Metric Learning,2014,41,Poster
Kernel-PCA Analysis of Surface Normals for Shape-from-Shading,2014,21,Poster
Merging SVMs with Linear Discriminant Analysis: A Combined Model,2014,7,Poster
Stable Learning in Coding Space for Multi-class Decoding and Its Extension for Multi-class Hypothesis Transfer Learning,2014,2,Poster
Finding the Subspace Mean or Median to Fit Your Need,2014,51,Poster
Adaptive Color Attributes for Real-Time Visual Tracking,2014,1872,Oral
Local Layering for Joint Motion Estimation and Occlusion Detection,2014,67,Oral
Realtime and Robust Hand Tracking from Depth,2014,544,Oral
Multi-output Learning for Camera Relocalization,2014,115,Oral
MAP Visibility Estimation for Large-Scale Dynamic 3D Reconstruction,2014,38,Oral
Multi-object Tracking via Constrained Sequential Labeling,2014,51,Oral
A Primal-Dual Algorithm for Higher-Order Multilabel Markov Random Fields,2014,35,Oral
Energy Based Multi-model Fitting &amp; Matching for 3D Reconstruction,2014,26,Oral
Submodularization for Binary Pairwise Energies,2014,45,Oral
Maximum Persistency in Energy Minimization,2014,23,Oral
Partial Optimality by Pruning for MAP-Inference with General Graphical Models,2014,38,Oral
Scene Labeling Using Beam Search under Mutex Constraints,2014,33,Oral
Persistent Tracking for Wide Area Aerial Surveillance,2014,75,Poster
Multi-cue Visual Tracking Using Robust Feature-Level Fusion Based on Joint Sparse Representation,2014,166,Poster
Multi-forest Tracker: A Chameleon in Tracking,2014,56,Poster
Rigid Motion Segmentation Using Randomized Voting,2014,46,Poster
Robust Online Multi-object Tracking Based on Tracklet Confidence and Online Discriminative Appearance Learning,2014,508,Poster
Pyramid-Based Visual Tracking Using Sparsity Represented Mean Transform,2014,30,Poster
Tracklet Association with Online Target-Specific Metric Learning,2014,119,Poster
An Online Learned Elementary Grouping Model for Multi-target Tracking,2014,58,Poster
Diversity-Enhanced Condensation Algorithm and Its Application for Robust and Accurate Endoscope Three-Dimensional Motion Tracking,2014,6,Poster
Partial Occlusion Handling for Visual Tracking via Robust Part Matching,2014,134,Poster
Speeding Up Tracking by Ignoring Features,2014,11,Poster
Subspace Tracking under Dynamic Dimensionality for Online Background Subtraction,2014,18,Poster
Multiple Target Tracking Based on Undirected Hierarchical Relation Hypergraph,2014,206,Poster
Bi-label Propagation for Generic Multiple Object Tracking,2014,41,Poster
A Probabilistic Framework for Multitarget Tracking with Mutual Occlusions,2014,28,Poster
Occlusion Geodesics for Online Multi-object Tracking,2014,134,Poster
Efficient Nonlinear Markov Models for Human Motion,2014,164,Poster
A Compositional Model for Low-Dimensional Image Set Representation,2014,20,Poster
A Principled Approach for Coarse-to-Fine MAP Inference,2014,6,Poster
Fast Approximate Inference in Higher Order MRF-MAP Labeling Problems,2014,7,Poster
Multi-label Generic Cuts: Optimal Inference in Multi-label Multi-clique MRF-MAP Problems,2014,10,Poster
Scanline Sampler without Detailed Balance: An Efficient MCMC for MRF Optimization,2014,3,Poster
Higher-Order Clique Reduction without Auxiliary Variables,2014,28,Poster
Topic Modeling of Multimodal Data: An Autoregressive Approach,2014,76,Poster
Model Transport: Towards Scalable Transfer Learning on Manifolds,2014,28,Poster
Learning Fine-Grained Image Similarity with Deep Ranking,2014,1460,Poster
Attributed Graph Mining and Matching: An Attempt to Define and Extract Soft Attributed Patterns,2014,25,Poster
Deep Fisher Kernels - End to End Learning of the Fisher Kernel GMM Parameters,2014,97,Poster
Transfer Joint Matching for Unsupervised Domain Adaptation,2014,730,Poster
Recognizing RGB Images by Learning from RGB-D Data,2014,80,Poster
Instance-Weighted Transfer Learning of Active Appearance Models,2014,21,Poster
Scalable Multitask Representation Learning for Scene Classification,2014,56,Poster
"Learning to Learn, from Transfer Learning to Domain Adaptation: A Unifying Perspective",2014,147,Poster
Constructing Robust Affinity Graphs for Spectral Clustering,2014,132,Poster
A Fast and Robust Algorithm to Count Topologically Persistent Holes in Noisy Clouds,2014,25,Poster
Co-localization in Real-World Images,2014,227,Poster
Spectral Clustering with Jensen-Type Kernels and Their Multi-point Extensions,2014,4,Poster
Fast and Robust Archetypal Analysis for Representation Learning,2014,103,Poster
Photometric Bundle Adjustment for Dense Multi-view 3D Modeling,2014,110,Poster
The Photometry of Intrinsic Images,2014,7,Poster
High Resolution 3D Shape Texture from Multiple Videos,2014,35,Poster
PatchMatch Based Joint View Selection and Depthmap Estimation,2014,159,Poster
Light Field Stereo Matching Using Bilateral Statistics of Surface Cameras,2014,159,Poster
Recovering Surface Details under General Unknown Illumination Using Shading and Coarse Multi-view Stereo,2014,19,Poster
Probabilistic Labeling Cost for High-Accuracy Multi-view Reconstruction,2014,27,Poster
Complex Non-rigid Motion 3D Reconstruction by Union of Subspaces,2014,132,Poster
A Procrustean Markov Process for Non-rigid Structure Recovery,2014,37,Poster
Good Vibrations: A Modal Analysis Approach for Sequential Non-rigid Structure from Motion,2014,72,Poster
Robust Scale Estimation in Real-Time Monocular SFM for Autonomous Driving,2014,158,Poster
On the Quotient Representation for the Essential Manifold,2014,15,Poster
Efficient High-Resolution Stereo Matching Using Local Plane Sweeps,2014,153,Poster
Cross-Scale Cost Aggregation for Stereo Matching,2014,247,Poster
Asymmetrical Gauss Mixture Models for Point Sets Matching,2014,31,Poster
Fast and Reliable Two-View Translation Estimation,2014,13,Poster
Graph Cut Based Continuous Stereo Matching Using Locally Shared Labels,2014,121,Poster
Learning to Detect Ground Control Points for Improving the Accuracy of Stereo Matching,2014,122,Poster
Decorrelating Semantic Visual Attributes by Resisting the Urge to Share,2014,168,Oral
PANDA: Pose Aligned Networks for Deep Attribute Modeling,2014,596,Oral
Learning Scalable Discriminative Dictionary with Sample Relatedness,2014,21,Oral
DeepPose: Human Pose Estimation via Deep Neural Networks,2014,3169,Oral
Iterated Second-Order Label Sensitive Pooling for 3D Human Pose Estimation,2014,103,Oral
3D Pictorial Structures for Multiple Human Pose Estimation,2014,243,Oral
Learning Euclidean-to-Riemannian Metric for Point-to-Set Classification,2014,101,Oral
Face Alignment at 3000 FPS via Regressing Local Binary Features,2014,1099,Oral
A Compact and Discriminative Face Track Descriptor,2014,144,Oral
DeepFace: Closing the Gap to Human-Level Performance in Face Verification,2014,7443,Oral
Filter Forests for Learning Data-Dependent Convolutional Kernels,2014,61,Oral
Learning and Transferring Mid-level Image Representations Using Convolutional Neural Networks,2014,3749,Oral
Large-Scale Video Classification with Convolutional Neural Networks,2014,7743,Oral
Convolutional Neural Networks for No-Reference Image Quality Assessment,2014,1080,Oral
Nonparametric Context Modeling of Local Appearance for Pose- and Expression-Robust Facial Landmark Localization,2014,93,Poster
Learning Expressionlets on Spatio-temporal Manifold for Dynamic Facial Expression Recognition,2014,423,Poster
Who Do I Look Like? Determining Parent-Offspring Resemblance via Gated Autoencoders,2014,134,Poster
Unified Face Analysis by Iterative Multi-output Random Forests,2014,68,Poster
Geometric Generative Gaze Estimation (G3E) for Remote RGB-D Cameras,2014,95,Poster
A Hierarchical Probabilistic Model for Facial Feature Detection,2014,22,Poster
RAPS: Robust and Efficient Automatic Construction of Person-Specific Deformable Models,2014,50,Poster
Non-parametric Bayesian Constrained Local Models,2014,32,Poster
Facial Expression Recognition via a Boosted Deep Belief Network,2014,763,Poster
Automatic Construction of Deformable Models In-the-Wild,2014,21,Poster
Learning-by-Synthesis for Appearance-Based 3D Gaze Estimation,2014,373,Poster
Towards Multi-view and Partially-Occluded Face Alignment,2014,40,Poster
Head Pose Estimation Based on Multivariate Label Distribution,2014,193,Poster
Efficient Boosted Exemplar-Based Face Detection,2014,127,Poster
Gauss-Newton Deformable Part Models for Face Alignment In-the-Wild,2014,280,Poster
Incremental Face Alignment in the Wild,2014,567,Poster
One Millisecond Face Alignment with an Ensemble of Regression Trees,2014,3245,Poster
Discriminative Deep Metric Learning for Face Verification in the Wild,2014,813,Poster
Stacked Progressive Auto-Encoders (SPAE) for Face Recognition Across Poses,2014,277,Poster
"Deep Learning Face Representation from Predicting 10, 000 Classes",2014,2519,Poster
Occlusion Coherence: Localizing Occluded Faces with a Hierarchical Deformable Part Model,2014,209,Poster
3D-Aided Face Recognition Robust to Expression and Pose Variations,2014,96,Poster
Learning Non-linear Reconstruction Models for Image Set Classification,2014,94,Poster
Gesture Recognition Portfolios for Personalization,2014,41,Poster
Sign Spotting Using Hierarchical Sequential Patterns with Temporal Intervals,2014,47,Poster
Automatic Feature Learning for Robust Shadow Detection,2014,136,Poster
Packing and Padding: Coupled Multi-index for Accurate Image Retrieval,2014,250,Poster
Adaptive Object Retrieval with Kernel Reconstructive Hashing,2014,18,Poster
Bayes Merging of Multiple Vocabularies for Scalable Image Retrieval,2014,93,Poster
Fast Supervised Hashing with Decision Trees for High-Dimensional Data,2014,462,Poster
Detect What You Can: Detecting and Representing Objects Using Holistic Models and Body Parts,2014,581,Poster
Associative Embeddings for Large-Scale Knowledge Transfer with Self-Assessment,2014,23,Poster
Detecting Objects Using Deformation Dictionaries,2014,28,Poster
